point,dist
2125,0.1779005868795581
1935,0.07257159619160994
1623,0.15019656295764258
1621,0.3286085155657359
7930,0.34325922199269965
9427,0.34343812310344307
7919,0.2615757751594336
9316,0.3665143115472345
6873,0.28561471598083155
6875,0.3995943546959133
6582,0.10436905182851204
2125,0.34882327553268927
8965,0.3272387667839252
8965,0.2560125789345747
8964,0.2216810616556167
9532,0.39116351690611345
2094,0.2746080864337316
1914,0.2046475039705975
1585,0.3239479317041868
1585,0.15342209881567137
2132,0.19146743784578982
1583,0.20358323121570776
1588,0.417381170475442
6868,0.2315979416832878
6506,0.2097331381848944
6418,0.12246875164337494
20,0.2828786281414892
27,0.5229702168451948
1617,0.41865621603161557
8984,0.3628404637849555
8988,0.49862158840695847
8985,0.39546506612704857
8984,0.4213179134027034
7916,0.34607061488878404
7926,0.51855437885319
6548,0.39755945334744913
1935,0.3080898247768933
2138,0.3017234697702651
2155,0.13043738562297857
2142,0.21796783905012035
2137,0.24961105480045154
9532,0.16730818688667148
1587,0.3712696538007577
1617,0.21302806586405526
1625,0.32642252278858486
5,0.31289778794491285
4,0.31393570980238283
2120,0.4670206293641766
2120,0.19139439670675457
8993,0.1302147067015628
9996,0.21908424791679865
9362,0.137300508369956
2124,0.3206756016730857
1595,0.37141637544157863
1591,0.29618220212740476
8986,0.36474301162546613
9033,0.3967700787174191
8977,0.4284293108488963
9530,0.19220113800173855
8977,0.3345304812649419
2229,0.4892731622104178
2238,0.35223463196668003
7902,0.452140734497806
8990,0.1975466044474881
9533,0.2556923639104235
9535,0.5024076727136326
1616,0.4001909631179366
2122,0.27356326803208236
1614,0.41168147775660857
6530,0.42053168950170083
2057,0.31182246638286165
664,0.20898869954429602
6520,0.2237573063827329
6535,0.2244367887301603
6528,0.31704408585177957
7323,0.19933288176880087
678,0.42837079316262255
678,0.14777306031813445
7915,0.21543774246669245
669,0.22769600581299862
7322,0.13028096962336208
1583,0.3211431393871918
1618,0.5902840718740265
2219,0.2509926146746965
9547,0.39423942320405714
9540,0.3140534161439942
8960,0.2717745697366701
9546,0.20468126083599486
8954,0.25815663127200544
2136,0.46370522011068177
1589,0.20076354164831087
1592,0.28466566807904503
9543,0.4315790167707506
9541,0.3500893963300856
9543,0.12766826794279387
8958,0.4748163034980718
8953,0.3495570204734176
8955,0.2248944320515185
6,0.3432349065684383
9999,0.3321027991072511
7932,0.4983976757255211
9996,0.4134948092734973
7918,0.141125207516655
7344,0.29243549156246196
7332,0.4297182802466548
7328,0.2369203284407024
554,0.16825251529409507
7331,0.29990986792054447
7330,0.35121635758142244
667,0.282509996509222
666,0.274414953006987
7922,0.39159810137348233
6591,0.19235038029787943
6641,0.3485414932224913
6641,0.3940834753752758
9994,0.1973337721418928
7923,0.39661596101843993
405,0.27310036375080776
683,0.3357882492621937
407,0.27936917713213905
682,0.2726384566925298
406,0.2748341796761184
